sequence,opportunity,z0,plan,action,observed,y,lambda,alpha
1,1,0.2534376622583758,1.3329343216397405,1.6936991851424634,1,0,1.0,1.0240627378225327
2,1,0.2689604836076081,1.1430383112518239,1.145900714212155,1,0,1.0,1.0240627378225327
3,1,0.1846137475286188,1.0404007749418696,1.3630727707007162,1,0,1.0,1.0240627378225327
4,1,0.6060361837270546,1.3509734603946808,1.6029584965549892,1,0,1.0,1.0240627378225327
5,1,-1.0415018779557408,-0.12182124264046856,-0.8313940483727876,1,0,1.0,1.0240627378225327
6,1,-1.5012436823872244,-0.16239415163874307,-0.2649771885259907,0,-1,1.0,1.0240627378225327
7,1,-1.052804032585143,-0.06697292341632015,-0.19136575448274246,0,-1,1.0,1.0240627378225327
8,1,1.2915352751436482,1.8114316419425698,2.3837963419690906,1,0,1.0,1.0240627378225327
9,1,0.9601239938527459,1.492506044211404,1.0130804871487045,1,0,1.0,1.0240627378225327
10,1,0.2680923116070847,0.8851273688038301,1.200567304353779,1,0,1.0,1.0240627378225327
11,1,-1.1935545139422739,0.3463836907459318,0.5907660979330105,1,0,1.0,1.0240627378225327
12,1,-0.25377618220479703,0.331493524204593,0.3384222572842624,1,0,1.0,1.0240627378225327
13,1,-0.44134461978149697,0.42403944931220994,0.5050284903612078,1,0,1.0,1.0240627378225327
14,1,0.662707460289177,1.2342944007645795,1.7351187870592844,1,0,1.0,1.0240627378225327
15,1,-1.1524736513299312,-0.052365798953332765,-0.5996486873905738,1,0,1.0,1.0240627378225327
16,1,0.1942496757088062,0.695886460978787,1.0883203302335387,1,0,1.0,1.0240627378225327
17,1,-0.6291931755386704,0.18807173207537986,-0.1791732122127488,1,0,1.0,1.0240627378225327
18,1,-0.35177014075314655,0.32682243429488206,-0.20908928748627736,1,0,1.0,1.0240627378225327
19,1,-0.5574204315370417,0.31295094476896124,0.4843525388805876,1,0,1.0,1.0240627378225327
20,1,1.4234153886550454,1.682353719743999,1.8848785534120236,1,0,1.0,1.0240627378225327
21,1,-1.1136566875653464,-0.1462500487014217,-0.15890104533471347,1,0,1.0,1.0240627378225327
22,1,-0.13669858334623375,0.6100009933309204,0.7225754611312731,1,0,1.0,1.0240627378225327
23,1,-1.0016446068528122,-0.2613402371574714,-0.7002691651458842,1,0,1.0,1.0240627378225327
24,1,1.2442700264351199,1.5059888644146884,0.14228093500071615,0,-1,1.0,1.0240627378225327
25,1,0.11377686017443774,0.5526596689679946,0.9650838385894938,1,0,1.0,1.0240627378225327
26,1,0.6587330476142019,1.5822958112977639,1.9105351242001694,1,0,1.0,1.0240627378225327
27,1,-0.3460568239123604,0.7788559568516296,0.6937460584083219,0,-1,1.0,1.0240627378225327
28,1,1.0522590817153405,1.5394505304546988,1.389526617536016,1,0,1.0,1.0240627378225327
29,1,0.35738876547162723,1.2866764097000545,1.3858988715705718,1,0,1.0,1.0240627378225327
30,1,1.2113351168828719,1.5630850544170054,1.6073455550050273,0,-1,1.0,1.0240627378225327
31,1,-1.1085593086806003,-0.030596910133513754,0.5917581948076003,0,-1,1.0,1.0240627378225327
32,1,0.7693291739616726,0.8360460538447358,0.5647745134042412,0,-1,1.0,1.0240627378225327
33,1,1.0440813451935753,1.5031255200455993,0.9223369928640589,0,-1,1.0,1.0240627378225327
34,1,-1.606907859962754,-0.6974325038811053,-1.4129285971409478,0,-1,1.0,1.0240627378225327
35,1,0.9877316260213068,1.2792608649992172,1.5130282136872637,1,0,1.0,1.0240627378225327
36,1,0.5342863253364112,1.1013477616852596,1.1230856380076206,1,0,1.0,1.0240627378225327
37,1,-0.6800797546620112,0.1617624678837807,0.7763497696719488,1,0,1.0,1.0240627378225327
38,1,-0.3834665516288172,0.3229355632703939,0.3579356647036368,1,0,1.0,1.0240627378225327
39,1,0.4263134533273678,0.8972647378339509,1.2151105728256288,0,-1,1.0,1.0240627378225327
40,1,-0.27907176983133625,0.37322896577831166,0.7481242326862165,1,1,1.0,1.0240627378225327
41,1,-0.08741460024738527,0.6232265325804376,-0.06400808597462937,1,0,1.0,1.0240627378225327
42,1,-0.9876730273642212,0.305202040521973,-0.01808935876829232,1,0,1.0,1.0240627378225327
43,1,-1.47702090941651,0.09231696284644797,0.28369870757888394,1,0,1.0,1.0240627378225327
44,1,0.6238873882440135,1.242229667584455,1.2780647763972701,0,-1,1.0,1.0240627378225327
45,1,0.188471494014192,1.2227258749120737,0.6986556468900581,0,-1,1.0,1.0240627378225327
46,1,-1.0092582802718046,0.3866537816364305,0.5223319545318634,0,-1,1.0,1.0240627378225327
47,1,1.1484812880368858,1.4912997536403207,0.9856896164590281,0,-1,1.0,1.0240627378225327
48,1,0.5357682020822366,1.100571408397804,1.5593151161932286,1,0,1.0,1.0240627378225327
49,1,-0.9814772414952043,-0.017460980339160603,0.2995079946968418,0,-1,1.0,1.0240627378225327
50,1,-0.9073587275261431,0.10736386465233479,1.1322508731628917,0,-1,1.0,1.0240627378225327
51,1,1.167468095697928,1.6498465999560594,1.262224261165447,1,0,1.0,1.0240627378225327
52,1,-0.7329550829678873,0.454382878223507,-0.29622843421151224,0,-1,1.0,1.0240627378225327
53,1,-0.8819030743560173,0.07424196138158244,1.2010718887602596,1,0,1.0,1.0240627378225327
54,1,-0.5664370325612939,0.14842362375911242,1.1792144881632045,1,0,1.0,1.0240627378225327
55,1,-0.9331267159294414,0.10982027858121679,-0.31551289706294977,1,0,1.0,1.0240627378225327
56,1,-0.8279335598031141,-0.4309258593530261,-0.5179521129010599,1,1,1.0,1.0240627378225327
57,1,-2.1562833217471615,-0.7959851327761225,-0.049975985703418435,1,0,1.0,1.0240627378225327
58,1,1.2061944896654844,1.6837673150766892,1.5973945700483516,1,0,1.0,1.0240627378225327
59,1,-0.7192807327351658,0.3108414547521017,0.37921911977546563,1,0,1.0,1.0240627378225327
60,1,0.13016659181821216,0.7650816258443863,1.03292648963376,1,0,1.0,1.0240627378225327
61,1,0.3123495913108548,1.0158620384676942,0.7638458239954307,1,0,1.0,1.0240627378225327
62,1,0.5918488248397715,1.2282655804766236,0.9809829730286774,1,0,1.0,1.0240627378225327
63,1,0.33549918003512663,1.3009799658425942,1.8671152285378705,1,0,1.0,1.0240627378225327
64,1,-1.142851742727918,0.3165313724001043,0.6670288336077079,1,0,1.0,1.0240627378225327
65,1,2.2188003880729825,2.2706187626418792,0.7620694429358186,1,0,1.0,1.0240627378225327
66,1,0.448074483881272,0.7104882242866546,1.00824380172292,0,-1,1.0,1.0240627378225327
67,1,-1.4265956172314254,-0.30607620060846386,-0.2673277097580059,1,0,1.0,1.0240627378225327
68,1,0.429954089482245,0.8589757294368197,0.7014365973655681,0,-1,1.0,1.0240627378225327
69,1,-2.4983351036070998,-1.2862296565975944,-1.3758258427158683,0,-1,1.0,1.0240627378225327
70,1,-1.6193090137348418,-0.4087416538580525,-0.36555607665432754,0,-1,1.0,1.0240627378225327
71,1,-0.9193393235652723,-0.03360583520118479,-0.11739302794086717,1,0,1.0,1.0240627378225327
72,1,1.184771746971259,1.8146460543661616,1.9015453192093894,1,0,1.0,1.0240627378225327
73,1,0.6471565410920681,1.0781449437661745,0.505691526415515,1,0,1.0,1.0240627378225327
74,1,-0.8862010543571768,0.05332203666338764,0.05734720445182187,1,0,1.0,1.0240627378225327
75,1,0.06379922051797271,0.7150066100149026,0.6354083192100164,1,0,1.0,1.0240627378225327
76,1,-2.094828023593773,-1.0724806862740446,-0.636773661677607,0,-1,1.0,1.0240627378225327
77,1,0.5166449369019325,1.4016387568976365,1.4568141120225493,1,0,1.0,1.0240627378225327
78,1,0.4216164161259256,1.0465107420470794,1.9070488900154323,1,0,1.0,1.0240627378225327
79,1,-0.9905108966421758,-0.1502403992481648,-0.49235269831337297,0,-1,1.0,1.0240627378225327
80,1,-0.06389372365000046,0.7512933343380591,0.13959783191467945,1,0,1.0,1.0240627378225327
81,1,-0.2876666315232131,0.6795477977622011,0.8996481222218672,1,0,1.0,1.0240627378225327
82,1,1.1607671677402045,1.516196474192354,2.0896681258919285,1,0,1.0,1.0240627378225327
