sequence,opportunity,z0,plan,action,observed,y,lambda,alpha
1,1,0.316016047662405,1.0722332509613801,2.1526727916655783,1,0,1.0,1.0240627378225327
2,1,0.925586804070483,1.3030703467413143,1.131273874920401,1,0,1.0,1.0240627378225327
3,1,-0.3230262076052794,1.001570078652785,1.2604312756832297,1,0,1.0,1.0240627378225327
4,1,0.13388324635770346,0.9240355760378309,0.7409371180985627,0,-1,1.0,1.0240627378225327
5,1,-0.9685630189559976,0.0698063560389007,0.27649571287419394,1,0,1.0,1.0240627378225327
6,1,0.7368564193976481,1.3286065444070243,1.2809048297078933,1,0,1.0,1.0240627378225327
7,1,0.21954609625439636,1.214560930486948,1.2528913844817733,1,0,1.0,1.0240627378225327
8,1,0.20219002345481302,0.7534331065836206,0.05903032631693084,1,0,1.0,1.0240627378225327
9,1,-0.033398638480089976,0.9049090282568412,1.0082334314511225,1,0,1.0,1.0240627378225327
10,1,-0.27904428590113917,0.5518360645653066,0.7342031458970446,1,0,1.0,1.0240627378225327
11,1,0.4452683601887389,0.9378240189376119,0.983447409490471,1,0,1.0,1.0240627378225327
12,1,-1.4470535157457685,-0.2329371605357634,-0.3274492162739076,1,0,1.0,1.0240627378225327
13,1,1.2488896194935089,1.4349360123642598,1.4084656913911042,1,0,1.0,1.0240627378225327
14,1,-0.526799633833343,0.5074221514486237,0.009299518251699612,0,-1,1.0,1.0240627378225327
15,1,0.575977832825142,1.0316910216215538,1.5501004275743644,1,0,1.0,1.0240627378225327
16,1,1.0931902307470145,1.6258638990973975,1.6417561326238468,1,0,1.0,1.0240627378225327
17,1,0.9567548428472783,1.3232730509378177,1.633919578937579,1,0,1.0,1.0240627378225327
18,1,2.30112131748335,2.430496625757531,2.6482791147945637,1,0,1.0,1.0240627378225327
19,1,-0.9970949118074743,0.002642725091849471,0.6098765586032006,1,0,1.0,1.0240627378225327
20,1,-0.9808374900994068,-0.23185542510137996,-0.5543541859819776,1,0,1.0,1.0240627378225327
21,1,-0.6812999335901083,0.19320283146502992,0.4073433714605803,0,-1,1.0,1.0240627378225327
22,1,1.4636328230738465,1.9822865943135057,1.984168487347471,1,0,1.0,1.0240627378225327
23,1,-1.9675535684550622,-0.5404254517956238,0.5277214278262202,0,-1,1.0,1.0240627378225327
24,1,0.9220851072721199,1.3400291224618321,1.2987036066457431,0,-1,1.0,1.0240627378225327
25,1,-0.2418622852233993,0.5956811473586507,-0.023020800219507365,0,-1,1.0,1.0240627378225327
26,1,-0.7848504973379977,0.38459175857623684,0.2482139769406904,1,0,1.0,1.0240627378225327
27,1,-0.3395573022425437,0.3566121056237259,0.37605032648456427,1,1,1.0,1.0240627378225327
28,1,-1.9190553478470025,-0.6280651573335185,-0.6046400647785114,0,-1,1.0,1.0240627378225327
29,1,-1.7279525152028383,-0.7192711121823787,-0.8878118054044235,0,-1,1.0,1.0240627378225327
30,1,0.3755328715782907,1.0382604898459271,1.1765160366704015,1,0,1.0,1.0240627378225327
31,1,2.0900391753177594,1.9878976045340555,1.1763350788667872,1,0,1.0,1.0240627378225327
32,1,-0.9917649893668217,0.12654329173715304,0.55407160469937,0,-1,1.0,1.0240627378225327
33,1,1.0009859476754397,1.3961463299624384,1.0355509831629002,1,1,1.0,1.0240627378225327
34,1,0.4973724872575924,1.0917827472364594,1.2861126919268115,1,0,1.0,1.0240627378225327
35,1,-1.1252858757455877,-0.22745927960293033,0.8203344022415685,0,-1,1.0,1.0240627378225327
36,1,-1.3930587013054074,-0.08975376929802173,0.6242650142002921,0,-1,1.0,1.0240627378225327
37,1,0.12207083597444915,0.7339770367010108,1.5725596954247911,0,-1,1.0,1.0240627378225327
38,1,-0.7924742742957518,0.15714666923671716,0.6648552247896867,1,0,1.0,1.0240627378225327
39,1,2.6409401988491035,2.6900330123685565,2.71125159332358,1,0,1.0,1.0240627378225327
40,1,0.30724692922636626,1.241389073776912,1.949207992777063,0,-1,1.0,1.0240627378225327
41,1,-0.11319500617021658,0.8916745177549373,1.0006886866843416,1,0,1.0,1.0240627378225327
42,1,1.0144490071784216,1.3307466024418453,1.33414054598698,0,-1,1.0,1.0240627378225327
43,1,-2.473891857657584,-0.9695565296792601,-0.9621297757582283,0,-1,1.0,1.0240627378225327
44,1,-0.2606568098260684,0.5749838062495308,1.3007656974180313,0,-1,1.0,1.0240627378225327
45,1,1.2646590416038248,1.6286266432382952,0.8452271755298245,1,0,1.0,1.0240627378225327
46,1,0.8461430068948546,1.1518442553626143,1.8162218474343863,1,0,1.0,1.0240627378225327
47,1,0.9333366128274372,1.5090846967612503,1.8590328666854596,1,0,1.0,1.0240627378225327
48,1,1.146288623708739,1.450230942460327,0.9605451935410771,1,0,1.0,1.0240627378225327
49,1,1.966557369881413,2.096452062336571,1.9259221851319794,1,0,1.0,1.0240627378225327
50,1,-1.2465374752146772,-0.3923398935977804,-0.30198412615280856,1,0,1.0,1.0240627378225327
51,1,0.7480712524103785,1.6173785919350805,1.388142279425336,1,0,1.0,1.0240627378225327
52,1,0.7595816090379143,1.2090563623701496,0.6598362721845666,1,0,1.0,1.0240627378225327
53,1,-0.8863156386567699,0.07735196630696028,-0.40507968076881407,1,0,1.0,1.0240627378225327
54,1,0.6996675147774519,1.2846869907095104,1.7003390242351344,1,0,1.0,1.0240627378225327
55,1,-0.2272699002463027,0.691457641638298,0.9277262606769028,1,0,1.0,1.0240627378225327
56,1,-0.008651972718520473,0.5113490423835584,0.5248735162233449,1,0,1.0,1.0240627378225327
57,1,0.2523024585183168,0.7792976566389053,0.703851820293963,1,0,1.0,1.0240627378225327
58,1,-0.06034563250406487,0.6180617083035289,0.605215179172234,1,1,1.0,1.0240627378225327
59,1,0.27972522702732183,0.7610713135606701,0.8022506346815501,0,-1,1.0,1.0240627378225327
60,1,0.2539264024197473,0.8132973861547786,1.1251951385623011,1,0,1.0,1.0240627378225327
61,1,-1.1205899421011274,0.18136565813447741,0.5843417755374611,0,-1,1.0,1.0240627378225327
62,1,0.16896426637221695,0.6812493990284614,0.7752258271001251,1,0,1.0,1.0240627378225327
63,1,0.5384973470040648,1.3515058180918056,1.3198978915263524,1,0,1.0,1.0240627378225327
64,1,-0.7222279798612354,0.3885073426074581,0.08364376456063288,1,0,1.0,1.0240627378225327
65,1,-2.105271330729815,-0.6633171964081007,-0.7703823485126887,0,-1,1.0,1.0240627378225327
66,1,0.6680085931095179,1.131110122757394,2.0895854288627094,1,0,1.0,1.0240627378225327
