sequence,opportunity,z0,plan,action,observed,y,lambda,alpha
1,1,0.316016047662405,1.0722332509613801,2.1526727916655783,1,0,2.0,0.9468387812376022
2,1,0.925586804070483,1.3030703467413143,1.131273874920401,1,0,2.0,0.9468387812376022
3,1,-0.3230262076052794,1.001570078652785,1.2604312756832297,1,0,2.0,0.9468387812376022
4,1,0.13388324635770346,0.9240355760378309,0.7409371180985627,0,-1,2.0,0.9468387812376022
5,1,-0.9685630189559976,0.0698063560389007,0.27649571287419394,1,0,2.0,0.9468387812376022
6,1,0.7368564193976481,1.3286065444070243,1.2809048297078933,1,0,2.0,0.9468387812376022
7,1,0.21954609625439636,1.214560930486948,1.2528913844817733,1,0,2.0,0.9468387812376022
8,1,0.20219002345481302,0.7534331065836206,0.05903032631693084,1,0,2.0,0.9468387812376022
9,1,-0.033398638480089976,0.9049090282568412,1.0082334314511225,1,0,2.0,0.9468387812376022
10,1,-0.27904428590113917,0.5518360645653066,0.7342031458970446,1,0,2.0,0.9468387812376022
11,1,0.4452683601887389,0.9378240189376119,0.983447409490471,1,0,2.0,0.9468387812376022
12,1,-1.4470535157457685,-0.2329371605357634,-0.3274492162739076,0,-1,2.0,0.9468387812376022
13,1,1.2488896194935089,1.4349360123642598,1.4084656913911042,1,0,2.0,0.9468387812376022
14,1,-0.526799633833343,0.5074221514486237,0.009299518251699612,0,-1,2.0,0.9468387812376022
15,1,0.575977832825142,1.0316910216215538,1.5501004275743644,1,0,2.0,0.9468387812376022
16,1,1.0931902307470145,1.6258638990973975,1.6417561326238468,1,0,2.0,0.9468387812376022
17,1,0.9567548428472783,1.3232730509378177,1.633919578937579,1,0,2.0,0.9468387812376022
18,1,2.30112131748335,2.430496625757531,2.6482791147945637,1,0,2.0,0.9468387812376022
19,1,-0.9970949118074743,0.002642725091849471,0.6098765586032006,1,0,2.0,0.9468387812376022
20,1,-0.9808374900994068,-0.23185542510137996,-0.5543541859819776,0,-1,2.0,0.9468387812376022
21,1,-0.6812999335901083,0.19320283146502992,0.4073433714605803,0,-1,2.0,0.9468387812376022
22,1,1.4636328230738465,1.9822865943135057,1.984168487347471,1,0,2.0,0.9468387812376022
